Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
Kids Again,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9812034490217566,False
Bad Romance,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9064583511694008,False
Break Away,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8864281811852894,False
Sincerely Me,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9043526542933624,False
Adorable,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9472065599935613,False
Break Away (Piano Version),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7583719816567455,False
Everything Must Go,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
Whiskey Problems,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Flashing Lights,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9320358619618847,False
Heartless,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8523241476692991,False
Runaway,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
I Wonder,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
All Falls Down,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
Bound 2,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9064583511694008,False
Can't Tell Me Nothing,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Stronger,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
Homecoming,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8756274453129899,False
One Dance,1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7851768229029976,False
NOKIA,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Which One (feat. Central Cee),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8297123577111073,False
Headlines,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8911778549525149,False
Passionfruit,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.86002413217996,False
God's Plan,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
She Will,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8941028829683979,False
Not You Too (feat. Chris Brown),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
What Did I Miss?,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.874107789904127,False
DIE TRYING,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
"All The Stars (with SZA) - From ""Black Panther: The Album""",1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.9108902072748918,False
luther (with sza),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8315719504139097,False
Not Like Us,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8821075603225386,False
Money Trees,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
tv off (feat. lefty gunplay),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7494560602770373,False
HUMBLE.,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
LOVE. FEAT. ZACARI.,1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
Swimming Pools (Drank),0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8578131746827968,False
Like That,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
PRIDE.,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
Starships,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8727184404072131,False
Bang Bang,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Super Bass,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Tusa,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8470323793536723,False
Swalla (feat. Nicki Minaj & Ty Dolla $ign),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7949984356924263,False
The Night Is Still Young,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Va Va Voom,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Super Freaky Girl,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8612475554808726,False
Anaconda,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9036716529807672,False
Moment 4 Life,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
No Role Modelz,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Work Out,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8988505235489915,True
Wet Dreamz,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Power Trip (feat. Miguel),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8414665768542784,False
MIDDLE CHILD,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9236927950667226,False
Love Yourz,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
The London (feat. J. Cole & Travis Scott),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,True
First Person Shooter (feat. J. Cole),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.757497010245944,False
She Knows (feat. Amber Coffman & Cults),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8626543669794999,False
All My Life (feat. J. Cole),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,True
Love Me,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9609234895625268,False
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8552337880306307,False
Let It All Work Out,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8415060062621713,True
Lollipop,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
A Milli,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.912279094747392,False
Mrs. Officer,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Mirror,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9322755318919813,False
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7508344926074434,True
Forever,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9093818341755371,False
Hey Ya!,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Ms. Jackson,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
"So Fresh, So Clean",0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8844250619141413,True
The Way You Move (feat. Sleepy Brown),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.9122206190582651,False
Roses,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
ATLiens,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8463494687029827,False
Rosa Parks,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
B.O.B. - Bombs Over Baghdad,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
